,Date,Open,High,Low,Close,Volume,name,code
0,20180618,15450,15950,15050,15250,122397,HDC랩스,039570
1,20180619,15300,15400,14450,14500,143284,HDC랩스,039570
2,20180620,14200,15100,14200,15000,119297,HDC랩스,039570
3,20180621,15000,15450,14650,14650,121740,HDC랩스,039570
4,20180622,14600,14950,13900,14400,148682,HDC랩스,039570
5,20180625,14150,14750,14150,14400,72422,HDC랩스,039570
6,20180626,14150,14150,13400,13600,220215,HDC랩스,039570
7,20180627,13600,13750,13050,13500,113871,HDC랩스,039570
8,20180628,13250,13850,13200,13300,47401,HDC랩스,039570
9,20180629,13400,13850,13350,13700,64572,HDC랩스,039570
10,20180702,13700,13700,12800,12850,92699,HDC랩스,039570
11,20180703,12900,13300,12800,13200,71729,HDC랩스,039570
12,20180704,12900,13450,12850,13300,37816,HDC랩스,039570
13,20180705,13150,13250,12500,12750,85718,HDC랩스,039570
14,20180706,12650,12900,12500,12800,74045,HDC랩스,039570
15,20180709,12550,12700,12350,12550,33393,HDC랩스,039570
16,20180710,12850,12850,12600,12700,21530,HDC랩스,039570
17,20180711,12600,12800,12550,12750,27504,HDC랩스,039570
18,20180712,12850,12850,12600,12750,33126,HDC랩스,039570
19,20180713,12750,13000,12650,12800,29219,HDC랩스,039570
20,20180716,12850,13050,12700,12750,44048,HDC랩스,039570
21,20180717,12850,13300,12700,13200,67120,HDC랩스,039570
22,20180718,13250,13300,12800,12900,60233,HDC랩스,039570
23,20180719,12850,13000,12400,12500,71666,HDC랩스,039570
24,20180720,12500,12700,12350,12650,41010,HDC랩스,039570
25,20180723,12600,12600,11900,12000,81309,HDC랩스,039570
26,20180724,11950,12700,11900,12350,58200,HDC랩스,039570
27,20180725,12450,12600,12050,12400,20128,HDC랩스,039570
28,20180726,12300,12850,12300,12600,29741,HDC랩스,039570
29,20180727,12550,13100,12500,13000,28348,HDC랩스,039570
30,20180730,13150,13500,12950,13450,89285,HDC랩스,039570
31,20180731,13450,13450,12850,13000,53089,HDC랩스,039570
32,20180801,12900,13150,12750,13100,47721,HDC랩스,039570
33,20180802,13100,13200,12750,12900,30825,HDC랩스,039570
34,20180803,13100,13100,12500,13050,34709,HDC랩스,039570
35,20180806,12900,13050,12750,13000,18150,HDC랩스,039570
36,20180807,13250,13300,12500,12800,73285,HDC랩스,039570
37,20180808,12850,12900,12600,12700,29185,HDC랩스,039570
38,20180809,12750,12800,12400,12600,47919,HDC랩스,039570
39,20180810,12800,13400,12650,13000,137256,HDC랩스,039570
40,20180813,13100,13350,12300,12350,117539,HDC랩스,039570
41,20180814,12350,12600,12150,12350,66316,HDC랩스,039570
42,20180816,12400,12550,12250,12500,52993,HDC랩스,039570
43,20180817,12500,12950,12500,12750,49302,HDC랩스,039570
44,20180820,12850,12950,12650,12750,29522,HDC랩스,039570
45,20180821,12800,13000,12600,13000,35951,HDC랩스,039570
46,20180822,12850,13100,12700,12950,40782,HDC랩스,039570
47,20180823,13000,13000,12600,12800,45110,HDC랩스,039570
48,20180824,12750,13050,12700,13000,35927,HDC랩스,039570
49,20180827,12700,13000,12650,12950,35056,HDC랩스,039570
50,20180828,12850,13250,12850,13050,54989,HDC랩스,039570
51,20180829,13050,13100,12850,13000,40924,HDC랩스,039570
52,20180830,13000,13250,13000,13200,36158,HDC랩스,039570
53,20180831,13100,13300,13100,13150,29534,HDC랩스,039570
54,20180903,13250,13250,13100,13100,19158,HDC랩스,039570
55,20180904,13050,13300,13050,13150,36838,HDC랩스,039570
56,20180905,13200,13350,13050,13150,36223,HDC랩스,039570
57,20180906,13200,13400,13100,13100,50864,HDC랩스,039570
58,20180907,13200,13250,12800,13150,51034,HDC랩스,039570
59,20180910,13200,14250,13150,14100,143592,HDC랩스,039570
60,20180911,14350,14400,13750,13900,58529,HDC랩스,039570
61,20180912,13900,14000,13500,13800,53141,HDC랩스,039570
62,20180913,13750,13850,13600,13800,21887,HDC랩스,039570
63,20180914,14050,14150,13750,13900,52404,HDC랩스,039570
64,20180917,14050,14050,13650,13650,27258,HDC랩스,039570
65,20180918,13650,13900,13450,13500,37593,HDC랩스,039570
66,20180919,13500,13600,13100,13200,48517,HDC랩스,039570
67,20180920,13300,13350,13000,13200,47379,HDC랩스,039570
68,20180921,13100,13700,13050,13600,32875,HDC랩스,039570
69,20180927,13650,13650,13450,13550,32219,HDC랩스,039570
70,20180928,13600,13600,13300,13450,27303,HDC랩스,039570
71,20181001,13400,13500,13250,13400,22202,HDC랩스,039570
72,20181002,13400,13400,13100,13150,28687,HDC랩스,039570
73,20181004,13100,13350,13100,13100,40966,HDC랩스,039570
74,20181005,12950,13200,12950,13000,32187,HDC랩스,039570
75,20181008,13000,13150,12950,13000,20355,HDC랩스,039570
76,20181010,12950,13050,12050,12100,88532,HDC랩스,039570
77,20181011,11300,11950,11100,11350,68934,HDC랩스,039570
78,20181012,11000,11600,11000,11550,35079,HDC랩스,039570
79,20181015,11950,11950,11350,11650,21591,HDC랩스,039570
80,20181016,11550,11850,11500,11600,20330,HDC랩스,039570
81,20181017,11700,11800,11400,11600,31296,HDC랩스,039570
82,20181018,11600,11850,11450,11600,22196,HDC랩스,039570
83,20181019,11400,11750,11250,11700,38976,HDC랩스,039570
84,20181022,11700,11700,11300,11450,26635,HDC랩스,039570
85,20181023,11600,11600,10800,11000,54875,HDC랩스,039570
86,20181024,11000,11400,10700,10750,39547,HDC랩스,039570
87,20181025,10500,10950,10300,10650,39084,HDC랩스,039570
88,20181026,10700,10900,9950,10050,100714,HDC랩스,039570
89,20181029,9830,10050,9270,9270,91505,HDC랩스,039570
90,20181030,9000,9840,8900,9620,45589,HDC랩스,039570
91,20181031,9460,9840,9400,9710,23221,HDC랩스,039570
92,20181101,9720,10100,9720,9970,16379,HDC랩스,039570
93,20181102,9900,10250,9900,10150,29411,HDC랩스,039570
94,20181105,10000,10100,9740,9850,32133,HDC랩스,039570
95,20181106,9810,9930,9700,9840,23892,HDC랩스,039570
96,20181107,9810,10150,9710,9800,34643,HDC랩스,039570
97,20181108,9990,10200,9900,9950,29124,HDC랩스,039570
98,20181109,9900,9990,9810,9900,16843,HDC랩스,039570
99,20181112,9900,9970,9780,9890,11628,HDC랩스,039570
100,20181113,9710,9740,9550,9680,45119,HDC랩스,039570
101,20181114,9660,9660,9550,9630,17867,HDC랩스,039570
102,20181115,9560,9600,9440,9530,27426,HDC랩스,039570
103,20181116,9530,9690,9480,9660,12354,HDC랩스,039570
104,20181119,9750,9910,9650,9840,19640,HDC랩스,039570
105,20181120,9750,9840,9560,9700,25048,HDC랩스,039570
106,20181121,9550,9650,9380,9620,62974,HDC랩스,039570
107,20181122,9620,9740,9510,9640,22746,HDC랩스,039570
108,20181123,9640,9680,9510,9540,10745,HDC랩스,039570
109,20181126,9600,9690,9550,9590,17747,HDC랩스,039570
110,20181127,9600,9670,9570,9640,9293,HDC랩스,039570
111,20181128,10000,10950,9850,9860,187116,HDC랩스,039570
112,20181129,9910,10150,9840,9940,46274,HDC랩스,039570
113,20181130,9940,9970,9680,9790,50769,HDC랩스,039570
114,20181203,9790,9960,9790,9890,19196,HDC랩스,039570
115,20181204,9860,9900,9750,9850,26895,HDC랩스,039570
116,20181205,9650,9760,9640,9760,17692,HDC랩스,039570
117,20181206,9760,9790,9350,9600,45205,HDC랩스,039570
118,20181207,9690,9830,9510,9730,24713,HDC랩스,039570
119,20181210,9660,9660,9350,9450,62270,HDC랩스,039570
120,20181211,9450,9450,9010,9100,49655,HDC랩스,039570
121,20181212,9100,9290,9000,9270,30534,HDC랩스,039570
122,20181213,9270,9390,9130,9390,14079,HDC랩스,039570
123,20181214,9390,9400,9110,9200,26409,HDC랩스,039570
124,20181217,9190,9190,8990,9070,16372,HDC랩스,039570
125,20181218,9000,9280,8980,9230,13443,HDC랩스,039570
126,20181219,9230,9470,9230,9470,51804,HDC랩스,039570
127,20181220,9400,9520,9340,9470,9440,HDC랩스,039570
128,20181221,9450,9550,9310,9470,36053,HDC랩스,039570
129,20181224,9470,9500,9320,9450,15391,HDC랩스,039570
130,20181226,9300,9400,9150,9400,18227,HDC랩스,039570
131,20181227,9400,9470,9240,9450,11178,HDC랩스,039570
132,20181228,9450,9520,9390,9520,62378,HDC랩스,039570
133,20190102,9520,9560,9320,9420,6510,HDC랩스,039570
134,20190103,9420,9420,9100,9280,14936,HDC랩스,039570
135,20190104,9210,9210,9020,9160,19225,HDC랩스,039570
136,20190107,9160,9380,9110,9380,9493,HDC랩스,039570
137,20190108,9290,9380,9290,9370,1965,HDC랩스,039570
138,20190109,9450,9450,9240,9450,8570,HDC랩스,039570
139,20190110,9450,9500,9360,9430,6127,HDC랩스,039570
140,20190111,9430,9670,9370,9610,24424,HDC랩스,039570
141,20190114,9540,9760,9540,9600,15056,HDC랩스,039570
142,20190115,9550,9890,9550,9870,94743,HDC랩스,039570
143,20190116,9940,9970,9830,9870,26499,HDC랩스,039570
144,20190117,9950,9990,9800,9870,13035,HDC랩스,039570
145,20190118,9870,9930,9840,9930,12420,HDC랩스,039570
146,20190121,9930,9930,9700,9900,22587,HDC랩스,039570
147,20190122,9900,9900,9750,9860,17244,HDC랩스,039570
148,20190123,9820,9900,9770,9890,9554,HDC랩스,039570
149,20190124,9890,10150,9890,10100,35745,HDC랩스,039570
150,20190125,10100,10200,9900,10150,24676,HDC랩스,039570
151,20190128,10150,10150,9960,10000,19007,HDC랩스,039570
152,20190129,9900,9980,9790,9960,13742,HDC랩스,039570
153,20190130,9910,10350,9910,10200,105337,HDC랩스,039570
154,20190131,10200,10300,9990,10100,60381,HDC랩스,039570
155,20190201,10100,10500,10000,10400,43742,HDC랩스,039570
156,20190207,10650,10800,10350,10600,85085,HDC랩스,039570
157,20190208,10500,10750,10400,10650,26603,HDC랩스,039570
158,20190211,10650,10650,10350,10500,27001,HDC랩스,039570
159,20190212,10450,10650,10300,10550,34852,HDC랩스,039570
160,20190213,10600,10750,10450,10600,17111,HDC랩스,039570
161,20190214,10600,10900,10300,10800,81887,HDC랩스,039570
162,20190215,10800,10850,10500,10650,28914,HDC랩스,039570
163,20190218,10650,11050,10550,10950,61634,HDC랩스,039570
164,20190219,11050,11300,10900,10950,49637,HDC랩스,039570
165,20190220,10950,11050,10850,11000,34447,HDC랩스,039570
166,20190221,11100,11150,10850,10900,35969,HDC랩스,039570
167,20190222,10900,11150,10900,11050,28763,HDC랩스,039570
168,20190225,11100,11250,11000,11250,32464,HDC랩스,039570
169,20190226,11050,11300,11050,11250,38513,HDC랩스,039570
170,20190227,11300,11300,11000,11100,28750,HDC랩스,039570
171,20190228,11200,11200,10600,10650,36383,HDC랩스,039570
172,20190304,10550,10800,10350,10550,53237,HDC랩스,039570
173,20190305,10550,10700,10300,10700,33121,HDC랩스,039570
174,20190306,10650,10850,10400,10700,44121,HDC랩스,039570
175,20190307,10700,10950,10350,10650,48458,HDC랩스,039570
176,20190308,10450,10550,10350,10500,15231,HDC랩스,039570
177,20190311,10500,10650,10100,10450,21189,HDC랩스,039570
178,20190312,10400,10600,10400,10550,13018,HDC랩스,039570
179,20190313,10500,10650,10250,10500,14833,HDC랩스,039570
180,20190314,10550,10600,10350,10600,17061,HDC랩스,039570
181,20190315,10600,10600,10250,10550,29341,HDC랩스,039570
182,20190318,10550,10650,10450,10600,19672,HDC랩스,039570
183,20190319,10650,10850,10500,10650,46051,HDC랩스,039570
184,20190320,10650,10650,10300,10500,38670,HDC랩스,039570
185,20190321,10450,10550,10200,10400,26565,HDC랩스,039570
186,20190322,10500,10500,10200,10350,25715,HDC랩스,039570
187,20190325,10300,10300,9960,10050,47635,HDC랩스,039570
188,20190326,10000,10150,9960,10100,26030,HDC랩스,039570
189,20190327,10150,10150,10000,10150,39890,HDC랩스,039570
