코스피,코스닥
A035000,A313760
A033250,A317850
A033240,A241840
A030200,A300080
A019490,A234340
A030000,A289010
A026890,A251970
A029460,A312610
A024890,A323280
A017940,A323230
A018670,A293780
A023590,A308100
A014440,A305090
A011790,A322780
A010600,A321260
A025890,A253840
A024900,A307930
A023960,A319660
A023800,A319400
A012320,A317240
A025530,A125210
A031820,A228760
A000660,A099750
A023150,A100790
A005320,A247540
A023450,A299660
A028050,A278280
A029530,A246960
A015360,A104620
A016800,A053580
A024070,A238200
A030720,A238200
A025560,A263050
A030210,A290550
A012630,A307180
A017900,A310200
A025540,A310870
A003160,A309930
A011930,A299900
A019180,A307750
A018880,A298380
A021820,A100590
A027970,A110020
A006740,A270870
A000910,A307870
A020120,A302430
A020000,A290120
A017800,A128540
A016580,A307280
A013580,A299910
A021050,A900340
A012750,A111710
A015890,A179290
A016590,A117730
A011690,A290660
A025860,A246710
A018500,A263690
A011300,A217330
A011200,A027360
A012610,A208340
A017810,A263020
A017390,A227100
A025820,A194700
A011090,A268600
A007460,A290670
A025620,A285490
A017960,A290650
A025000,A306620
A010580,A108490
A007980,A153710
A009440,A288620
A008420,A293580
A016880,A290720
A014790,A110790
A007310,A299170
A008500,A219750
A010120,A257370
A009190,A291230
A000760,A197140
A014820,A303030
A010140,A290740
A009680,A173130
A010690,A089970
A000390,A086820
A009450,A290380
A012030,A110990
A005090,A275630
A005750,A290270
A005880,A080720
A005870,A080720
A017550,A204020
A011170,A297570
A001430,A226950
A008770,A175250
A014580,A289080
A013520,A245620
A004080,A284620
A006060,A037030
A014530,A016790
A002140,A258830
A016090,A122310
A001620,A287410
A017040,A950170
A011390,A253590
A011810,A263700
A010130,A277070
A012600,A226400
A004720,A183490
A009200,A006620
A001500,A154030
A008870,A260660
A008110,A042000
A005820,A219420
A008490,A267790
A014910,A255220
A003580,A264660
A003580,A269620
A015860,A187870
A014160,A281740
A012280,A260930
A019170,A241770
A002210,A234300
A012170,A066360
A009420,A007680
A011330,A138580
A012800,A253450
A001140,A148140
A013360,A950160
A013700,A265560
A002760,A234100
A007610,A263810
A004920,A255440
A009290,A277410
A011420,A263920
A004270,A243840
A001940,A179900
A009410,A171090
A007280,A259630
A009180,A174900
A002170,A263540
A017670,A263750
A010640,A256940
A003650,A263600
A004380,A270520
A002840,A258610
A007860,A140670
A013000,A900310
A012330,A273060
A015540,A118990
A001390,A263800
A009320,A263860
A001450,A263720
A005440,A091990
A015760,A181340
A007690,A238490
A006280,A251630
A009160,A227610
A008600,A272290
A015230,A003380
A007160,A261200
A014130,A267320
A008040,A250000
A009140,A267980
A009580,A225190
A014990,A264850
A010420,A161580
A013570,A256630
A003610,A166090
A015590,A258790
A014680,A251370
A010820,A265520
A006040,A263770
A008060,A063760
A003680,A264450
A015020,A178320
A011280,A183300
A002310,A246720
A010660,A217480
A011150,A002800
A001770,A083500
A018470,A087260
A005850,A241820
A009970,A140070
A012510,A206650
A012510,A256840
A003850,A241520
A008250,A246690
A012690,A147760
A006370,A196300
A006980,A203450
A002920,A215600
A002220,A254120
A002450,A241790
A002460,A220100
A007340,A144960
A000890,A156100
A001290,A220180
A003010,A237880
A014280,A900300
A009810,A238120
A008730,A252500
A009270,A216050
A004140,A239610
A002960,A241710
A003000,A900290
A005810,A900280
A001270,A189300
A012200,A072990
A004710,A950140
A016610,A238090
A008930,A050960
A005500,A201490
A005490,A250930
A002410,A241690
A005690,A250060
A001230,A242040
A006340,A234920
A005950,A900270
A016360,A230360
A002810,A208860
A001750,A073560
A011780,A123010
A003470,A174880
A002620,A071460
A015260,A142760
A009460,A237750
A005720,A900260
A006660,A237690
A004490,A144510
A011000,A148250
A009310,A239340
A010100,A243070
A005070,A240810
A004830,A228850
A001720,A228340
A001200,A222110
A003460,A211270
A011700,A230980
A005420,A115180
A000500,A065660
A010950,A236200
A012450,A142210
A011230,A900250
A004020,A224060
A004770,A109610
A004560,A232140
A006090,A191410
A003530,A223310
A009470,A145020
A001510,A145020
A010770,A222980
A007110,A206560
A016380,A013310
A010780,A047920
A002360,A217730
A003830,A133750
A007810,A225530
A004170,A140860
A010060,A230240
A000520,A122640
A006490,A222040
A003120,A058110
A000720,A217820
A002710,A221840
A003060,A180400
A007700,A221980
A008700,A212560
A010620,A227950
A006360,A214370
A006110,A185490
A006200,A190510
A006400,A056090
A009150,A226340
A005960,A115960
A009070,A182400
A003070,A226360
A005180,A092870
A005250,A214870
A000480,A225430
A004310,A226440
A003920,A225590
A008350,A225570
A003350,A217190
A001880,A219130
A011760,A175140
A006260,A222080
A001740,A224110
A002100,A196700
A004870,A131760
A007590,A222810
A004430,A222800
A002780,A189980
A004090,A222420
A000650,A094360
A000430,A127710
A001080,A214430
A004700,A067730
A004360,A220260
A008970,A214450
A002880,A214450
A001260,A219550
A005680,A087010
A005800,A218410
A002630,A094170
A001550,A178780
A005430,A214180
A004910,A160600
A004690,A166480
A003080,A214310
A002600,A177350
A001570,A217270
A003960,A218150
A002070,A160980
A003570,A217500
A004960,A087600
A004370,A217620
A003720,A187420
A004980,A215380
A004970,A215480
A002870,A215790
A001630,A215360
A005740,A215200
A002390,A215090
A001380,A215100
A006120,A214680
A007540,A195990
A003280,A215000
A001250,A214150
A002990,A214270
A001470,A189690
A001820,A213420
A001020,A060480
A001520,A206640
A000880,A206640
A001060,A204630
A000670,A208640
A001340,A193250
A000180,A200470
A005110,A200670
A004450,A208710
A000040,A189860
