Date,kospi_adr,kosdaq_adr
A20220527,79.1,80.54
A20220530,81.81,81.22
A20220531,84.17,83.67
A20220602,83.27,81.57
A20220603,88.19,86.68
A20220607,86.77,85.56
A20220608,93.09,91.09
A20220609,93.42,90.54
A20220610,91.04,85.99
A20220613,89.34,85.47
A20220614,78.26,75.78
A20220615,69.9,67.7
A20220616,68.55,66.36
A20220617,67.83,65.41
A20220620,66.64,63.43
A20220621,66.99,63.65
A20220622,61.44,58.25
A20220623,60.36,57.28
A20220624,65.87,62.94
A20220627,72.55,69.63
A20220628,71.73,70.08
A20220629,65.76,65.12
A20220630,60.03,59.31
A20220701,58.63,55.7
A20220704,54.04,51.77
A20220705,63.11,61.56
A20220706,60.24,61.46
A20220707,67.02,69.31
A20220708,72.6,76.27
A20220711,77.42,83.81
A20220712,76.44,82.3
A20220713,85.45,92.03
A20220714,85.68,92.98
A20220715,84.84,92.61
A20220718,100.15,109.2
A20220719,97.89,108.33
A20220720,112.7,122.44
A20220721,127.47,138.98
A20220722,113.51,122.05
A20220725,104.14,110.41
A20220726,101.15,107.24
A20220727,105.14,110.34
A20220728,113.51,118.51
A20220729,125.52,131.89
A20220801,135.72,142.04
A20220802,119.32,124.27
A20220803,131.79,133.21
A20220804,124.34,127.65
A20220805,124.76,124.12
A20220808,129.19,122.24
A20220809,139.99,130.32
A20220810,131.4,119.23
A20220811,142.03,124.71
A20220812,153.6,130.77
A20220816,141.62,120.55
A20220817,129.92,110.35
A20220818,120.26,105.42
A20220819,111.63,97.33
A20220822,105.55,92.55
A20220823,99.4,87.98
A20220824,101.96,92.14
A20220825,106.88,96.88
A20220826,105.68,95.12
A20220829,91.96,84.44
A20220830,95.2,88.72
A20220831,102.5,96.56
A20220901,90.57,85.74
A20220902,87.55,80.78
A20220905,80.58,73.93
A20220906,83.93,79.13
A20220907,77.73,74.71
A20220908,81.84,80.37
A20220913,81.7,81.96
A20220914,74.02,76.21
A20220915,73.84,75.18
A20220916,73.09,74.24
A20220919,70.06,69.71
A20220920,76.82,76.37
A20220921,79.93,80.45
A20220922,81.8,82.11
A20220923,72.93,72.69
A20220926,61.67,61.19
A20220927,60.66,61.62
A20220928,60.7,61.97
A20220929,57.69,58.12
A20220930,54.34,54.7
A20221004,65.05,64.93
A20221005,63.72,63.36
A20221006,71.88,74.11
A20221007,67.99,68.48
A20221011,66.81,66.66
A20221012,65.16,64.49
A20221013,54.95,53.92
A20221014,64.67,62.71
A20221017,66.58,66.44
A20221018,76.6,76.69
A20221019,79.58,79.75
A20221020,72.67,72.68
A20221021,70.71,70.32
A20221024,76.27,77.43
A20221025,80.66,84.17
A20221026,85.67,88.22
A20221027,93.43,94.22
A20221028,99.75,97.16
A20221031,101.85,100.98
A20221101,111.58,107.12
A20221102,101.94,96.5
A20221103,103.5,99.52
A20221104,97.14,89.9
A20221107,102.81,96.15
A20221108,119.1,112.55
A20221109,123.94,115.15
A20221110,132.5,121.76
A20221111,130.8,120.31
A20221114,131.53,117.74
A20221115,125.54,114.81
A20221116,129.92,118.1
A20221117,128.58,119.28
A20221118,133.47,122.76
A20221121,121.05,108.72
A20221122,122.22,104.66
A20221123,133.82,115.45
A20221124,130.99,116.82
A20221125,134.18,120.04
A20221128,122.89,107.08
A20221129,121.55,107.04
A20221130,128.27,111.02
A20221201,138.84,120.52
A20221202,131.66,120.39
A20221205,125.39,115.24
A20221206,110.51,100.85
A20221207,103.92,96.71
A20221208,101.34,94.73
A20221209,97.87,91.96
A20221212,93.6,88.57
A20221213,90.02,83.73
A20221214,94.1,90.07
A20221215,96.24,92.36
A20221216,94.94,91.5
A20221219,97.07,95.67
A20221220,91.52,91.57
A20221221,88.19,86.24
A20221222,87.87,83.05
A20221223,80.59,77.73
A20221226,84.71,81.02
A20221227,84.68,81
A20221228,77.23,78.27
A20221229,67.87,68.32
A20230102,66.37,65.57
A20230103,65.27,65.7
A20230104,73.84,75.4
A20230105,77.02,77.82
A20230106,84.18,86.83
A20230109,87.49,89.57
A20230110,89.17,91.69
A20230111,93.11,98.3
A20230112,90.17,91.82
A20230113,94.74,94.22
A20230116,100.26,100.88
A20230117,99.06,98.52
A20230118,103.35,105.63
A20230119,103.13,105.8
A20230120,101.59,105.33
A20230125,112.74,120.52
A20230126,119.15,127.92
A20230127,116.67,124.22
A20230130,116.46,124.25
A20230131,128.11,134.63
A20230201,139.24,145.62
A20230202,148.23,156.34
A20230203,139.82,145.44
A20230206,136.92,140.97
A20230207,129.58,137.04
A20230208,123.66,130.86
A20230209,120.9,129.06
A20230210,111.63,113.12
A20230213,107.59,110.41
A20230214,106.57,110.41
A20230215,96.67,100.67
A20230216,106.29,111.59
A20230217,108.38,108.28
A20230220,109.95,114.32
A20230221,108.82,111.36
A20230222,99.22,99.6
A20230223,96.76,98.42
A20230224,89.2,92.16
A20230227,88.96,90.36
A20230228,89.07,93.44
A20230302,88.5,91.06
A20230303,85.68,86.45
A20230306,86.12,88.1
A20230307,87.05,89.72
A20230308,83.42,82.95
A20230309,79.79,79.2
A20230310,75.16,74.31
A20230313,74.53,75.43
A20230314,69.29,70.69
A20230315,72.76,74.95
A20230316,74.82,77.77
A20230317,74.75,79.37
A20230320,75.63,83.37
A20230321,73.32,77.33
A20230322,69.86,76.48
A20230323,71.19,77.24
A20230324,70.57,79.66
A20230327,72.16,81.96
A20230328,80.35,88.79
A20230329,81.28,86.01
A20230330,83.24,88.92
A20230331,83.4,84.67
A20230403,84.9,84.54
A20230404,88.32,88.3
A20230405,93.01,95.59
A20230406,88.62,91.46
A20230407,95.72,99.08
A20230410,95.12,97.66
A20230411,110.39,111.06
A20230412,108.56,106.87
A20230413,117.02,111.86
A20230414,115.71,106.79
A20230417,116.76,105.71
A20230418,113.67,105.29
A20230419,120.47,108.8
A20230420,120.9,106.9
A20230421,114.57,97.1
A20230424,111.32,93.42
A20230425,100.59,84.68
A20230426,95.35,81.19
A20230427,91.35,80.22
A20230428,90.31,80.1
A20230502,92.94,83.91
A20230503,87,80.62
A20230504,87.31,77.22
A20230508,95.39,84.26
A20230509,93.69,80.56
A20230510,97.7,84.6
A20230511,94.02,82.03
A20230512,85.8,76.59
A20230515,81.54,71.95
A20230516,76.01,68
A20230517,77.19,72.47
A20230518,82.47,77.58
A20230519,81.51,78.32
A20230522,89.53,86.81
A20230523,93.6,91.73
A20230524,98.32,93.97
A20230525,97.16,95.34
A20230526,94.44,94.85
A20230530,95.61,96.01
